class,length,DB,early1,early2,early3,mid1,mid2,mid3,late1,late2,late3,stat1,stat2,stat3,pH 5.5 1,pH 5.5 2,pH 5.5 3,pH 6 1,pH 6 2,pH 6 3,pH 7 1,pH 7 2,pH 7 3,pH 7.5 1,pH 7.5 2,pH 7.5 3,pH 8 1,pH 8 2,pH 8 3,4C 1,4C 2,4C 3,13C 1,13C 2,13C 3,20C 1,20C 2,20C 3,NaCl 0.05 1,NaCl 0.05 2,NaCl 0.05 3,NaCl 0.1 1,NaCl 0.1 2,NaCl 0.1 3,NaCl 0.2 1,NaCl 0.2 2,NaCl 0.2 3,MetOH 0.1 1,MetOH 0.1 2,MetOH 0.1 3,MetOH 1 1,MetOH 1 2,MetOH 1 3,TX 0.1 1,TX 0.1 2,TX 0.1 3,TX 1 1,TX 1 2,TX 1 3,TX 5 1,TX 5 2,TX 5 3
PE [34:1],34,1,1.355766176,1.337458441,1.365786014,1.192495803,1.294991249,1.098228321,1.254192471,1.255819402,1.185302045,0.563953355,0.566568612,0.583415105,1.735580705,1.779912423,1.774017502,1.650331217,1.51325809,1.551192366,1.37653236,1.419092231,1.488410332,1.437067829,1.310184624,1.419813244,1.934494392,1.918304305,1.989445621,0.230250161,0.203643654,0.255338461,0.488762018,0.370147732,0.382074873,0.529107575,0.531161691,0.517572332,1.270742268,1.299655493,1.34857018,1.284722339,1.297563637,1.300415687,1.492485867,1.6120193,1.532601718,1.756419056,1.781418603,1.74843677,2.105154243,2.155666475,2.182295102,1.442536351,1.42898023,1.503485809,1.193092068,1.291666942,1.376653454,1.185546523,1.176988063,1.238468473
PE [34:2],34,2,4.072396442,4.033434205,4.30163738,3.921156733,3.967673846,3.80096482,4.05732581,4.343129864,4.156499317,3.311549619,3.285642619,3.368516256,3.902802526,3.955412644,4.005665442,4.093213353,3.956330147,4.104759139,4.076135403,4.186311901,4.33089723,5.07762693,4.91829572,4.663689446,5.301419616,5.045746506,5.037953158,2.404199267,1.96465828,2.358026232,4.511385095,3.254514812,3.505874903,3.565597241,3.46151988,3.472679987,4.250146463,4.031161012,4.121382153,4.350499256,4.454439671,4.508653231,6.334794185,7.409529828,5.637585121,4.13070604,3.628427531,4.007387551,4.402706454,4.284164375,4.356706677,4.465969082,4.217867179,4.378000188,4.134045145,4.129725221,4.442342006,3.729957646,3.864006299,3.878855241
PE [36:1],36,1,1.608387315,1.550312378,1.636966049,1.713343681,1.670010117,1.80682387,1.690902597,1.713171209,1.631003424,0.275226706,0.267116908,0.261558839,1.557765191,1.738545018,1.685895349,1.640093048,1.51146457,1.570242574,1.364436689,1.394560312,1.357183808,1.156127393,1.171872161,1.261726618,1.189582296,1.369869331,1.551413195,0.074131338,0.078437649,0.120381355,0.265345829,0.239641835,0.207274668,0.419013801,0.426680862,0.414085178,1.662882422,1.607123622,1.708010336,1.437883747,1.50555309,1.496955297,1.498813373,1.343455078,1.605564364,2.128465941,2.27224833,2.198264408,2.437505152,2.510133837,2.588432745,1.54126621,1.610130973,1.733563511,1.355045613,1.491976658,1.558360101,1.325124263,1.360118618,1.387161341
PE [36:2],36,2,29.53540281,29.11499964,29.75391108,29.80082274,29.93701661,30.55371502,27.608304,27.94880478,27.43042017,20.51851259,20.61109385,20.82551085,22.38191544,23.91901133,22.82639667,24.98134619,23.60228997,24.03387085,25.36177673,25.17200168,25.91433417,24.52722939,23.67486174,24.46815047,20.57012489,21.78640653,22.78517997,13.96939867,12.43311964,13.59900184,32.5474934,25.37439638,24.26819239,27.7160599,27.91419201,27.74519763,30.37171199,30.63213486,30.82143623,28.98359629,29.0623513,29.29716087,25.20979812,25.54400352,25.37084833,30.0106251,30.03066474,28.93634767,29.26987143,29.93937039,30.62455715,31.34141237,30.87963617,32.11380538,30.5216151,32.11622787,33.66197782,30.6084548,30.39882393,30.80947304
PE [36:3],36,3,0.137610076,0.132781401,0.147527891,0.086763658,0.101002395,0.075568435,0.082562218,0.091336848,0.099530346,0.057315863,0.064604139,0.069712943,0.644865547,0.740320876,0.272012449,0.212146572,0.197877885,0.20459115,0.149332051,0.159096025,0.142979009,0.108520925,0.156085774,0.128719111,0.146773961,0.147193229,0.145675493,6.286180052,5.59378551,5.801035213,9.010573736,6.928308393,6.817662081,2.458986152,2.485334246,2.502982662,0.170991408,0.150579182,0.131708777,0.190678852,0.189938171,0.191890481,0.220479971,0.246984795,0.190430408,0.103349652,0.0641267,0.109376862,0.069832106,0.062143051,0.065402594,0.123723848,0.120985844,0.085583575,0.086570362,0.086767285,0.072715015,0.087219694,0.077248056,0.073481836
PG [32:1],32,1,0.114476974,0.126123941,0.124149961,0.070428466,0.065927392,0.03739011,0.11841969,0.11978163,0.111225527,0.590920995,0.588094199,0.56486278,0.068111323,0.154720174,0.20824564,0.194006347,0.186180167,0.183308091,0.122045775,0.134101855,0.111271938,0.119574188,0.188874851,0.179778265,0.352379976,0.320081194,0.274354159,0.00380612,0.009837235,0.004101141,0.002001495,0.007652133,0.01071819,0.016431819,0.014692247,0.024270096,0.083497721,0.053325476,0.066505293,0.082204741,0.092522907,0.075866878,0.124608844,0.152911008,0.085305053,0.113481909,0.074252907,0.132477489,0.171712453,0.139409296,0.134189083,0,0.079452287,0.044024971,0.053640606,0.045081976,0.081970243,0.065336401,0.04171457,0.05282663
PG [34:1],34,1,1.273978384,1.35247395,1.275084235,1.184115138,1.219624165,1.069620924,1.436102065,1.416474809,1.358757945,1.77721328,1.709487744,1.685153588,1.971459781,2.02208505,2.087485424,1.800642591,1.794123758,1.73414511,1.42724126,1.637700605,1.631149302,1.657973963,1.611399681,1.722561751,2.751480228,2.572019265,2.413498028,0.323901833,0.321859375,0.346119276,0.190935979,0.388524011,0.387591051,0.542213086,0.535896614,0.545568613,1.155354083,1.205096645,1.200697284,1.232724352,1.213335902,1.204967321,1.471179469,1.470746364,1.589994212,1.620402036,1.616532091,1.635446551,2.015199007,1.962938238,1.993423694,1.339574121,1.389559889,1.314107561,1.299405152,1.219917461,1.53798833,1.324855543,1.307105538,1.288024181
PG [34:2],34,2,2.703851782,2.927032022,2.752685052,2.759343491,2.715605006,2.571617361,3.202923025,3.340278437,3.168219099,4.790703285,4.620813011,4.625747865,3.699063266,3.654648191,3.951360036,3.466051538,3.417045777,3.477884321,3.177206789,3.411881656,3.287343022,3.969476894,3.954392388,3.737717304,5.121624516,4.695138199,4.379075852,1.542359703,1.545486068,1.512986594,0.804344486,1.731323933,1.789596755,1.990149785,1.915282873,1.958288132,2.626321279,2.61086783,2.610377688,2.920324655,2.924591394,2.88992661,3.940974061,4.214532739,3.785310813,2.873459059,2.664311374,2.898637166,3.176428589,3.030369648,2.994651681,2.955810649,2.904247945,2.782739942,2.826360459,2.585717266,3.355077939,2.774073651,2.723691371,2.798932691
PG [36:2],36,2,31.99071126,34.08394326,30.94488151,34.80455219,34.57850582,33.86512146,36.30739057,35.23953299,35.18088901,37.37114019,37.4566954,36.47746951,29.38666663,30.48251227,29.87517778,31.42921403,31.14945078,30.49497276,31.44694522,33.11524546,31.91559971,32.50231216,32.97202954,33.93680124,33.1519256,32.890074,33.09300929,28.30957562,30.07308065,28.67175076,14.92045665,33.20488401,32.42941949,33.54400587,33.36249337,33.52160595,32.56050196,32.99769276,33.50917832,33.63147253,33.62329846,33.16146981,31.94250573,31.73386623,32.82386285,31.94787479,32.13681324,32.35761617,31.92501696,30.94047236,31.70824412,31.40081383,31.56008771,29.98964285,32.83811945,31.26690313,39.05303151,33.74408438,33.1351899,33.28818734
PG [36:3],36,3,0.104255836,0.10596826,0.094244081,0.080764896,0.12526775,0.091132221,0.04972771,0.0284373,0.065505082,0.065389398,0.068897754,0.113290819,0.016815371,0.022589327,0.024530602,0.043754389,0.034651691,0.039699451,0.023404826,0.022668393,0.015981281,0.019598791,0.032924677,0.022746534,0.021861721,0.024185398,0.016974531,0.979650738,0.968242053,0.938071076,0.238707192,0.486696579,0.501206419,0.207201072,0.190228801,0.199106893,0.024267891,0.026499341,0.026873036,0.045631273,0.052695204,0.045373022,0.032956677,0.041452519,0,0.027381485,0.012974646,0.024512325,0.025874636,0.017334739,0.005920601,0.010761455,0.009944883,0.005768631,0.008256594,0.012083738,0.014641082,0.019889925,0.010805017,0.007093137
CL [64:0],64,0,0.009523686,0.007613802,0.011478203,0.010537286,0.007334728,0.006611086,0.01118598,0.011543492,0.014526945,0.018963327,0.020817582,0.02334196,0.004633127,0.009330446,0.016920389,0.017778907,0.023182626,0.023031255,0.007902522,0.005021786,0.006793196,0.007153489,0.017068877,0.014697648,0.037351568,0.035165642,0.031853219,0,0.000578315,0.000635345,0.001144995,0.000854878,0.001387258,0.002421467,0.002088531,0.002197505,0.013238195,0.005996389,0.007420278,0.008109203,0.008821784,0.009709852,0.020054804,0.018132086,0.005080435,0.014092665,0.002871928,0.018301729,0.019531106,0.021278598,0.01654279,0.003413212,0.008829813,0.004889327,0.00319758,0.003763636,0.005349006,0.003582614,0.004013189,0.004268673
CL [68:2],68,2,0.420979104,0.392051405,0.464326108,0.433807129,0.380642914,0.368471191,0.42517786,0.436643281,0.421018391,0.324578481,0.322903267,0.326552113,0.486888237,0.389913986,0.407931604,0.472321709,0.582892594,0.572679168,0.616613495,0.331772789,0.410991263,0.574597942,0.599951373,0.537912378,0.623290548,0.553252289,0.637767602,0.221536513,0.210845062,0.237560539,0.41072655,0.317566463,0.347318908,0.32257307,0.345417305,0.329202368,0.513870128,0.391253262,0.370661217,0.424421426,0.445323375,0.460181194,0.775407186,0.70752479,0.439989676,0.400118909,0.313849684,0.440453336,0.419362398,0.412005508,0.362437548,0.416360783,0.434341305,0.404137666,0.45735644,0.409365306,0.432878109,0.385195781,0.405339959,0.371621452
CL [68:4],68,4,0.043189398,0.046278008,0.054305349,0.04003825,0.050505078,0.030062788,0.079753642,0.074750731,0.083030295,0.134905674,0.138788879,0.141525911,0.148588149,0.157310452,0.153930147,0.118991857,0.119038523,0.119210287,0.098307685,0.092351365,0.090945613,0.10780106,0.118768278,0.11854954,0.159931086,0.164451636,0.169291935,0.098994606,0.098191065,0.122620736,0.108661125,0.076091557,0.089433716,0.052017808,0.062392598,0.056822917,0.116731516,0.131612407,0.130344538,0.126053618,0.120380007,0.119421859,0.211803112,0.151003002,0.220790062,0.088921329,0.093172622,0.086026637,0.093643383,0.099665663,0.104298166,0.132168869,0.168760241,0.166799001,0.123009944,0.115363216,0.141020399,0.150377723,0.141092824,0.149978048
CL [70:4],70,4,0.246671197,0.25502036,0.307066853,0.265128974,0.297303594,0.196684816,0.475724091,0.41869653,0.453286503,0.675510653,0.686792019,0.705404966,0.692898358,0.69311545,0.66933255,0.613337385,0.597699301,0.611935847,0.437905544,0.476369777,0.449364368,0.476387687,0.477224531,0.532150804,0.516376804,0.606270507,0.65854146,0.247770428,0.246968672,0.334470518,0.401729495,0.265579988,0.310210558,0.321733033,0.376732525,0.327668171,0.714466207,0.807713856,0.821807125,0.736527329,0.698091901,0.662124848,0.775614258,0.546233029,0.82099488,0.533636754,0.56060567,0.560300392,0.54614676,0.60694041,0.602720163,0.711019404,1.01110264,0.965657507,0.742265778,0.727496333,0.937290966,0.970832234,0.924773851,0.946263898
CL [72:2],72,2,3.451885409,3.159879284,3.6602462,3.793074386,3.223705784,3.41357708,3.136961558,3.16178206,3.034308389,2.075633975,2.160872891,2.160032852,2.642813555,2.373673687,2.43192777,3.115415618,3.779952255,3.685191127,4.150185864,2.082020853,2.536806135,2.915254622,3.186731876,2.962629872,2.480560403,2.467316167,3.062079897,1.383800362,1.437064277,1.529412629,3.349649409,2.697381593,2.831744905,2.913409569,3.148227718,3.060426171,4.13215759,3.192910963,3.157958777,3.138838862,3.2819844,3.418103048,3.384425616,2.569048269,2.002450697,3.211855928,2.618043655,3.600196218,3.085470045,3.16902752,2.799936307,3.174687692,3.377581632,3.08676173,3.732565269,3.349301051,3.469406049,3.255675304,3.502474616,3.05271628
DIP,1,9,6.844437924,5.436464791,6.639399755,3.717068542,4.350669209,4.856274829,3.177531368,3.453261163,4.45991717,5.183119459,5.363758205,5.259781928,8.299855116,7.16833452,8.244768616,5.909083191,7.08516185,7.30655115,5.99884102,5.800660686,5.186274471,4.700726239,5.540993574,4.942320969,3.738856439,4.002771525,3.848191698,2.737254136,2.536628933,3.171852488,4.776221495,3.082738094,4.492477691,4.71554347,5.014219296,4.958533919,5.851785609,5.397805093,5.128934083,5.17457795,5.113147416,5.191944816,4.520838468,3.618200302,5.40737377,6.521738854,7.747067343,6.29989749,7.855932396,8.706386067,7.788279526,6.121495822,6.400654599,6.226230847,6.07833531,5.901949895,0,5.513777554,5.764007503,5.579259972
mDIP,1,9,2.578787956,2.053801123,2.641277895,1.874748738,2.066863137,2.540159449,2.318090827,2.713761528,3.423165463,4.849176696,4.879909796,4.712110439,4.451493695,3.824039893,4.351640476,2.469890797,3.414876381,3.56638972,3.31391427,3.400192661,3.026163031,3.320356779,3.743365943,3.407676552,3.128275977,3.493279075,3.166273991,2.098340358,1.983739708,2.547545077,4.876851644,3.583986477,4.051597653,2.882308635,2.978187772,3.023562648,2.858993054,2.570775042,2.622743208,3.200434784,3.187379999,3.23441995,5.329231358,4.36909633,6.282543347,2.517101033,2.837352822,2.333996264,2.692721898,2.803910814,2.443048584,2.227734118,2.300607775,2.238717657,2.347686357,2.338162425,0,2.286634288,2.359935037,2.311681263
